,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLU,XLU,XLU,XLU,XLU,XLU,XLU,GDX,GDX,GDX,GDX,GDX,GDX,GDX,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLF
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-18,31.620556508335408,31.735400119154406,31.39086563588485,31.515281677246094,8896100,0.0,0,73.22602238951033,73.44642178864328,72.87706718343829,73.37295532226562,8042700,0.0,0,47.8318412844533,47.945432950552004,47.71824628507018,47.866790771484375,5310800,0.0,0,63.29128299131128,63.37350681729506,63.06289354231267,63.245609283447266,6891100,0.0,0,44.45279130798487,44.529316902745606,44.333752214706394,44.478302001953125,7890400,0.0,0,21.296054042721128,21.334374406030634,21.19067669805097,21.209835052490234,30865800,0.0,0,51.348594702142385,51.364235212368655,50.63682915550032,50.84801483154297,14956800,0.0,0,22.320894218713875,22.47470669169302,22.293750232048602,22.438514709472656,63210700,0.0,0
2017-07-19,31.43871652572878,31.658838616276142,31.18031931664062,31.390865325927734,6631900,0.0,0,73.68520586373474,73.96988677978516,73.68520586373474,73.96988677978516,8177900,0.0,0,47.84931631103066,48.04155349731445,47.78815053962846,48.04155349731445,5592000,0.0,0,63.135976850322336,63.30955505371094,63.03548493992815,63.30955505371094,8864600,0.0,0,44.55482886119885,44.682369360371716,44.427285118453874,44.66536331176758,10669400,0.0,0,21.21941341638033,21.34395275978512,21.085295810143176,21.248153686523438,27487200,0.0,0,50.79326334622281,51.637988135797826,50.75415312015928,51.591060638427734,24802700,0.0,0,22.483757064782818,22.547091314637004,22.36613483585743,22.44756507873535,48259400,0.0,0
2017-07-20,31.400441288015692,31.706693382161912,31.237742809418233,31.543994903564453,7297800,0.0,0,74.14435205309161,74.5759589009391,74.02497426787517,74.45658111572266,8276800,0.0,0,48.006604086525925,48.1988412864685,47.91922535925282,48.050296783447266,9816700,0.0,0,63.364368171494256,63.40091131907741,62.87104613396083,62.953269958496094,7428000,0.0,0,44.78439884671811,44.99696957200591,44.6738644049402,44.988468170166016,8462500,0.0,0,21.2194129402622,21.47806988410044,21.181094408146517,21.38227081298828,25254900,0.0,0,51.8804643197979,52.06818028941051,51.293846693298285,51.434635162353516,17159300,0.0,0,22.465658696137925,22.565184921515225,22.3932764574259,22.438514709472656,40163500,0.0,0
2017-07-21,31.802396448814736,31.831106442354372,31.534426773610097,31.716262817382812,7243700,0.0,0,74.30048002443695,74.48413925797095,74.2453766494562,74.37393951416016,4043600,0.0,0,47.88427034250361,48.146409845604865,47.84058098086751,48.128936767578125,7738700,0.0,0,62.64266067891405,62.861912608485135,62.43253930940076,62.83450698852539,7600500,0.0,0,44.996973620852835,45.311580657958984,44.84392566896041,45.311580657958984,9252000,0.0,0,21.55470958510358,21.583449855681252,21.343953082513433,21.468490600585938,21535000,0.0,0,51.26255521803796,51.50502190621135,50.85583035752107,50.92622756958008,13047600,0.0,0,22.37518046631572,22.510896948184683,22.37518046631572,22.438514709472656,39108400,0.0,0
2017-07-24,31.802392761828685,31.811965192440802,30.950628977979935,31.084613800048828,11611700,0.0,0,74.30964127209131,74.41984099097364,74.02496742266497,74.34637451171875,4476800,0.0,0,48.11145329190246,48.13766623837826,47.93669253773412,47.97164535522461,9302400,0.0,0,62.77055791812385,62.86191230751665,62.606117229259546,62.697471618652344,7551700,0.0,0,45.33708922844008,45.33708922844008,44.818416080293076,44.88644027709961,10534800,0.0,0,21.52596798469789,21.535548074298607,21.046974467953444,21.123613357543945,45649400,0.0,0,51.035725544995756,51.11394002285265,50.715038428185686,50.83236312866211,10433400,0.0,0,22.429465771495988,22.565182237220476,22.429465771495988,22.53803825378418,26364800,0.0,0
2017-07-25,31.122899940840995,31.41001082970739,30.8549302646741,30.92192268371582,6383100,0.0,0,74.52084610280099,74.57594245211016,73.70355089269027,73.8137435913086,8486000,0.0,0,48.13767476614607,48.338648502393454,48.093985403185286,48.30369567871094,13799900,0.0,0,63.01723263483113,63.01723263483113,62.43254911432937,62.615264892578125,9077100,0.0,0,44.792911713526394,44.9204554695375,44.580340949222865,44.6313591003418,10568100,0.0,0,21.171513698811783,21.449328986971025,21.171513698811783,21.33437156677246,34211800,0.0,0,51.44244500964519,51.841346608959824,51.32512627518402,51.473731994628906,15479300,0.0,0,22.79138114424635,22.909001642803222,22.755189159626504,22.818523406982422,75786800,0.0,0
2017-07-26,30.921921054975147,32.338337862814164,30.88363863159259,32.07993698120117,20244400,0.0,0,73.64845569033929,73.7219221683166,73.36378184586347,73.56581115722656,4964100,0.0,0,48.31242880197791,48.41728392509237,48.146404579322066,48.294952392578125,7594000,0.0,0,62.79796353795237,62.79796353795237,62.55130598960249,62.697471618652344,6804000,0.0,0,44.62285331666788,45.05649948120117,44.55483236048116,45.05649948120117,8631200,0.0,0,21.2194129194238,22.091180993979254,21.200252739777124,21.88042449951172,63816900,0.0,0,51.76313758760568,52.122929001778104,51.387699695600666,51.52848815917969,21211400,0.0,0,22.845669393350427,22.88186138113534,22.610426649935384,22.66471290588379,56086500,0.0,0
2017-07-27,32.03208340215043,32.204350643785205,31.36215564588324,31.515281677246094,12767200,0.0,0,73.63926967430976,73.63926967430976,72.75769305233338,73.06072998046875,12536800,0.0,0,48.32990730211033,48.77554409458804,48.30369102023441,48.766807556152344,12859000,0.0,0,62.63351326259418,62.63351326259418,62.03970633748065,62.3411750793457,9900900,0.0,0,44.928944552288385,45.167022705078125,44.87792641515991,45.167022705078125,9586900,0.0,0,22.014541581449443,22.024121671045986,21.516387885720643,21.621767044067383,50762200,0.0,0,51.544132911097925,52.075999759322556,51.30948349052898,52.05253601074219,15815900,0.0,0,22.709946697423728,22.718994691902495,22.43851204024626,22.53803825378418,67826200,0.0,0
2017-07-28,31.63012926097877,32.26177467604015,31.63012926097877,32.19478225708008,15511200,0.0,0,73.08828523674262,73.519892032332,72.77606321806454,73.42806243896484,6426100,0.0,0,48.618256718028675,48.81923042241652,47.68329049908845,48.356117248535156,18412200,0.0,0,62.27722911807836,62.53302416867875,62.1401940638589,62.48735046386719,11435700,0.0,0,45.09901809692383,45.22655862057223,44.88644731393709,45.09901809692383,9639000,0.0,0,21.727146480845782,21.97622333190208,21.66008768002587,21.94748306274414,40162900,0.0,0,51.88046205671476,52.50618391725649,51.79442433119057,51.98996353149414,14765000,0.0,0,22.50184800159761,22.601372489407044,22.411369782538458,22.53803825378418,43735800,0.0,0
2017-07-31,32.19477750135258,32.4436095785729,31.974659064311528,32.175636291503906,9013700,0.0,0,73.5199110986523,73.6668440910638,73.35461498526475,73.36380004882812,5516800,0.0,0,48.233783190019764,48.45223329202775,48.22504331930039,48.33863830566406,7279300,0.0,0,62.779675156521336,62.80708076749188,62.38684513619811,62.405113220214844,6787300,0.0,0,45.04798300501184,45.354085336401674,44.979962066687165,45.252052307128906,11861300,0.0,0,21.918742168205046,22.062441682679456,21.78462457039184,21.89958381652832,30392300,0.0,0,52.00561177159379,52.40451347037002,51.86482328775417,52.107295989990234,13519500,0.0,0,22.619468898054233,22.782329350236786,22.5923249141143,22.700899124145508,43039300,0.0,0
